name;description;long;lat;idquartier;largeur;longueur;adresse
kml_584;"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>OBJECTID</th> <td>730</td> </tr><tr bgcolor=""""> <th>NOM_VOIE</th> <td>Louvain (rue)</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADRESSE</th> <td>devant le n";-1.65925945566166;48.1276368189908;;3.3;4.7;devant le n°16  -  Louvain (rue)
kml_585;"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>OBJECTID</th> <td>409</td> </tr><tr bgcolor=""""> <th>NOM_VOIE</th> <td>Christian Bernon (rue)</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADRESSE</th> <td>de";-1.64293440995702;48.1011752680686;;1.9;6.3;devant le n° 6  -  Christian Bernon (rue)
kml_586;"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>OBJECTID</th> <td>129</td> </tr><tr bgcolor=""""> <th>NOM_VOIE</th> <td>Louis Hémon (rue)</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADRESSE</th> <td>au droi";-1.6867785679015;48.0938152402515;;2;4.4;au droit du n° 44  -  Louis Hémon (rue)
kml_587;"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>OBJECTID</th> <td>132</td> </tr><tr bgcolor=""""> <th>NOM_VOIE</th> <td>Yves Noël (rue)</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADRESSE</th> <td>au droit ";-1.67619320951674;48.0916891262403;;3.5;4;au droit du n° 3  -  Yves Noël (rue)
kml_588;"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>OBJECTID</th> <td>147</td> </tr><tr bgcolor=""""> <th>NOM_VOIE</th> <td>Canada (avenue du)</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADRESSE</th> <td>prés d";-1.68064887655367;48.0869496237326;;3.3;5;prés de l'immeuble n° 19  -  Canada (avenue du)
kml_589;"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>OBJECTID</th> <td>148</td> </tr><tr bgcolor=""""> <th>NOM_VOIE</th> <td>Norvège (rue de)</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADRESSE</th> <td>au droit";-1.68423528433212;48.0867618006396;;2.3;5;au droit du n° 8  -  Norvège (rue de)
kml_59;"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>OBJECTID</th> <td>3843</td> </tr><tr bgcolor=""""> <th>NOM_VOIE</th> <td>Sous-Lieutenant Yves bergers</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADRESSE</th>";-1.67381710767078;48.0881694716724;;3.3;5;au n°2  -  Sous-Lieutenant Yves bergers
kml_590;"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>OBJECTID</th> <td>149</td> </tr><tr bgcolor=""""> <th>NOM_VOIE</th> <td>Stockholm (square de)</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADRESSE</th> <td>à p";-1.67887575096757;48.0869434206927;;3.3;4.5;à proximité du n° 1  -  Stockholm (square de)
kml_591;"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>OBJECTID</th> <td>150</td> </tr><tr bgcolor=""""> <th>NOM_VOIE</th> <td>Suède (rue de)</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADRESSE</th> <td>à proximit";-1.6792368516718;48.0867802597957;;3.2;5.5;à proximité du n°1 sqare de Stockholm  -  Suède (rue de)
kml_592;"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>OBJECTID</th> <td>153</td> </tr><tr bgcolor=""""> <th>NOM_VOIE</th> <td>Asturies  (allée des)</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADRESSE</th> <td>à p";-1.67334350703613;48.0854675189295;;3;5.8;à proximité du n° 8  -  Asturies  (allée des)
kml_593;"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>OBJECTID</th> <td>183</td> </tr><tr bgcolor=""""> <th>NOM_VOIE</th> <td>Bilbao (cours de)</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADRESSE</th> <td>au droi";-1.66954156561839;48.0851213881088;;2.3;5.4;au droit du n° 28  -  Bilbao (cours de)
kml_594;"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>OBJECTID</th> <td>186</td> </tr><tr bgcolor=""""> <th>NOM_VOIE</th> <td>Berne (allée de)</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADRESSE</th> <td>côté Oue";-1.66526828518707;48.0859256455228;;2;5.5;côté Ouest  proximité parking  -  Berne (allée de)
kml_595;"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>OBJECTID</th> <td>187</td> </tr><tr bgcolor=""""> <th>NOM_VOIE</th> <td>Lucerne (allée de)</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADRESSE</th> <td>face a";-1.6637215349203;48.085992574056;;3.3;5;face au n° 2  -  Lucerne (allée de)
